214,209,265,530,177,325,122,219,93,285
147,145,202,363,130,223,79,160,70,206
172,174,189,414,148,242,82,177,80,220
12600,11845,7811,18825,11675,18199,6679,10112,5186,8324
0,0,0,0,0,0,0,0,0,0
126,137,144,288,109,197,63,126,52,168
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10768,10416,6751,16994,10920,15980,6384,9438,4880,7541
13041,12049,8162,19931,12357,18815,7152,11087,5724,9261
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12903,12168,8519,20581,12654,18821,7244,10909,5734,8865
11895,10961,7631,18636,12076,17249,7167,10333,5173,8541
254,235,293,595,201,364,125,246,120,322
11040,10505,6575,16194,10614,15853,6040,9420,4886,7333
9819,9123,6116,15322,9516,13966,5509,8192,4253,6364
10801,10625,5172,10991,3163,10802,1667,3252,1438,3982
9824,9429,6359,15290,9393,14165,5401,8220,4190,6580
13950,13254,8825,22201,13423,20750,7792,11864,5878,9123
73,64,88,165,56,116,36,68,31,92
11837,10948,7024,17482,11320,16784,6513,9868,5028,7970
11417,10250,6710,16553,11362,16084,6624,9567,4863,7737
11591,10364,6908,17743,11158,16598,6270,9337,4964,8127
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12839,11907,7642,18553,11876,17946,7187,10522,5530,8196
4876,2587,3292,15183,7089,4268,3437,2505,864,6128
12100,11350,7177,18118,11072,17719,6106,9776,5247,8185
10892,9900,6692,17348,11111,16051,6434,9153,4790,7729
10311,9711,6927,16105,9775,14708,5625,8975,4619,7736
11064,10369,6871,17560,10480,16023,6043,9174,4824,7719
12880,12032,7988,19834,12900,19002,7433,10787,5782,9202
13657,13024,8601,21336,13261,19643,7626,11843,6146,9424
176,169,224,422,145,257,91,186,82,237
