1402,1239,2345,1511,4697,574,2677,4351,5,3479,2818,118,3116,1368,40,1583,1488,303,1679,1386,147,1653,844,161,1042,799,14,582,229,551,52,89,9,12
2120,2445,3117,3007,7035,1449,6176,10559,13,9782,7720,374,7424,4013,133,4039,4082,826,3846,3273,461,3239,2810,584,2911,536,441,529,982,1075,137,162,25,33
2881,3169,3894,3508,8658,1624,7540,12529,22,12127,8559,332,8203,4529,162,4561,4719,941,4453,3679,465,3556,2550,552,2764,632,322,565,1163,1238,164,170,36,19
2379,2661,3392,3078,7632,1483,6317,11247,10,10178,7782,306,6566,4029,140,3709,4280,872,3639,3235,448,3012,2514,509,2570,496,301,445,1034,1152,142,155,31,30
2898,3550,4160,4022,8940,1735,8162,13011,16,12556,8952,388,7903,4578,170,4431,4791,1002,4345,4074,516,3969,3096,620,3238,581,395,550,1230,1320,157,187,29,36
2476,2848,3559,3351,7856,1539,6728,11035,19,10583,8669,367,7798,4170,145,4083,4160,935,3773,3212,434,3076,2370,508,2531,583,273,603,1167,1205,150,162,25,25
2293,2656,2777,2668,6447,1385,5421,8651,12,8355,6864,303,6228,3212,135,3242,3306,667,3183,2747,370,2784,2280,435,2414,481,301,426,1295,1422,177,203,35,36
2435,2857,3216,3251,6704,1547,6020,11062,24,10108,7816,392,7274,3641,143,3818,3826,984,3655,3032,504,3071,2378,505,2585,530,352,567,1277,1465,184,198,32,35
2097,2522,2929,2899,6225,1438,5675,10797,17,9887,6545,309,5962,3438,132,3370,3723,874,3358,2842,434,2626,2080,474,2260,530,327,507,942,1051,133,151,29,26
54,67,56,60,125,41,104,247,1,197,172,10,155,85,2,70,85,18,79,84,9,86,74,7,71,16,20,13,3,3,1,0,0,0
2335,2731,3080,2912,6906,1518,5989,10122,19,10398,7171,337,6534,3503,123,3575,3661,852,3432,2969,445,2858,2224,480,2449,528,275,523,978,1013,144,165,31,32
24,27,22,25,55,17,45,106,0,90,81,4,67,36,0,32,37,9,29,32,3,34,36,5,31,6,9,5,2,2,1,1,1,0
2485,2858,3348,3170,7528,1485,6353,12042,21,10968,7419,333,7045,3787,155,3742,4099,865,3661,3413,446,3233,2602,578,2849,481,293,486,1132,1250,165,161,39,21
2555,2981,3508,3337,7526,1489,6314,10791,14,10443,8078,334,7405,3965,143,3887,4164,828,3818,3342,458,3284,2761,581,2898,555,375,572,1260,1307,153,180,37,30
2101,2337,2908,2523,5907,1212,5005,8522,10,8031,5853,260,5347,3060,97,2983,3125,673,2901,2497,340,2423,2126,426,2220,395,293,412,961,1063,124,146,21,29
111,134,105,115,233,85,203,510,0,402,352,18,299,154,8,139,165,31,153,162,22,150,157,10,132,28,43,32,9,7,2,0,2,0
59,66,58,68,133,47,104,261,0,217,188,10,162,86,2,79,97,13,88,84,13,89,81,3,66,17,29,17,3,3,0,1,0,1
2991,3506,3897,3766,8686,1772,7442,13099,24,12847,9169,366,8180,4737,148,4614,5016,1009,4657,4034,560,3739,3058,645,3288,539,416,613,1271,1312,188,170,40,36
26,30,20,24,49,19,41,106,0,85,83,2,64,31,0,33,36,8,35,40,1,31,31,4,33,7,5,7,2,0,0,0,0,0
73,84,74,75,160,53,129,329,0,264,223,12,199,103,1,89,116,22,103,105,12,99,98,9,92,20,23,20,5,4,1,1,0,0
62,74,61,64,138,49,115,286,0,232,200,11,161,88,2,83,100,18,83,90,9,88,83,10,73,17,22,17,4,2,0,1,0,0
1722,2017,2188,2239,4747,954,4127,7874,13,7470,6272,211,5755,3057,87,2920,3179,580,2889,2546,337,2564,2202,406,2192,399,290,378,763,825,103,111,22,23
2543,2946,3493,3324,7524,1446,6602,10534,13,10382,8379,341,7416,4218,131,4120,4232,885,3797,3378,453,2988,2395,518,2512,539,322,500,1176,1237,167,161,36,35
2581,3036,3516,3253,7667,1431,6603,10868,14,10782,8239,314,7719,4125,143,4050,4227,822,3854,3260,389,3359,2385,496,2496,490,320,532,1149,1195,152,176,33,36
2643,2934,3273,3306,7664,1620,6601,11603,12,11124,7758,356,7333,3990,138,3922,4190,895,3856,3562,455,3248,2767,599,2898,514,295,503,1209,1217,194,179,28,30
2577,2783,3238,3031,7203,1505,6205,10626,15,10450,7800,340,7167,4148,173,4104,4391,947,4021,3624,485,3463,2763,632,2967,575,325,566,1036,1147,156,154,26,34
11,13,12,13,34,12,21,52,1,50,42,3,33,18,0,14,19,3,16,15,4,19,17,1,16,4,7,4,0,1,0,0,0,0
13,16,10,14,24,7,21,53,0,47,37,3,33,14,0,13,18,4,16,18,2,17,15,1,17,3,4,3,2,2,0,0,0,1
3494,3939,5007,4851,11380,2257,9909,15314,20,14290,11228,462,10024,5627,209,5370,5910,1315,5144,4748,608,4437,3487,755,3553,755,487,669,1606,1595,229,229,39,45
1558,2039,2621,2690,6084,1118,5165,9163,9,8160,6160,247,5331,3047,132,2906,3168,768,2980,2787,395,2684,2368,517,2379,563,302,506,873,1034,127,157,35,26
36,40,30,36,76,20,65,154,0,121,111,5,91,48,5,47,53,4,47,48,8,48,46,5,39,8,12,10,1,1,1,1,0,0
32,42,41,35,77,29,62,162,1,135,111,5,99,51,1,46,52,7,44,54,6,53,49,6,45,9,14,10,2,2,0,0,0,1
2790,3291,3803,3602,8816,1604,6741,12682,16,10298,8500,305,7538,4279,145,4131,4573,1017,4134,3582,516,3562,2847,606,2994,621,277,604,1227,1303,183,188,33,33
38,47,40,36,83,32,66,174,1,130,115,4,102,53,1,47,57,11,51,58,4,48,48,8,46,10,16,10,1,2,1,0,0,0
1748,1962,2236,2183,4740,1080,4304,7237,13,6729,4754,227,4145,2353,83,2351,2458,514,2235,1957,278,1990,1506,308,1572,302,280,292,917,1016,117,149,30,27
69,89,76,72,160,52,134,331,1,269,234,14,188,103,2,96,114,20,94,107,14,105,107,9,84,19,31,19,4,4,1,0,1,0
73,89,75,75,158,56,143,348,2,275,240,12,204,109,2,91,108,25,108,110,13,106,106,10,90,18,28,20,3,4,0,0,0,0
1412,1653,1931,1885,4224,923,3844,6418,9,6421,4785,197,4087,2234,80,2269,2326,541,2173,1893,295,1835,1544,312,1597,297,239,303,684,808,95,103,19,20
1532,1752,2138,2069,4801,993,4166,7212,11,6626,5162,216,4612,2595,87,2631,2763,631,2578,2296,349,2215,1777,351,1923,351,240,330,711,779,94,99,24,21
35,45,35,38,87,24,72,159,0,139,121,9,106,54,1,50,54,12,54,65,6,57,50,2,47,12,13,11,2,3,0,0,0,0
1681,1916,2202,2121,4744,1020,4284,7369,8,6762,5060,230,4842,2589,97,2443,2655,559,2334,2137,313,2105,1557,318,1771,379,240,336,752,796,109,108,18,20
1742,1913,2259,2278,5090,1078,4591,7655,12,7172,5227,233,4784,2707,91,2646,2822,580,2614,2254,317,2147,1780,378,1806,409,236,408,692,725,95,104,16,15
2118,3537,2995,3778,2982,510,4727,2746,7,2489,1872,121,1622,836,24,798,945,198,934,1008,121,1200,926,85,1045,546,192,1063,50,80,8,18,1,5
28,35,28,29,62,26,54,134,0,105,93,4,83,42,0,31,44,8,41,42,6,46,40,3,33,6,8,8,2,1,0,0,0,1
2496,2931,3256,3125,7335,1528,6527,10237,31,9937,6909,371,7009,3594,122,3705,3837,869,3723,3042,463,3011,2841,547,2827,549,562,566,1069,1234,165,169,35,37
2586,2819,3429,3178,7487,1599,6569,10957,24,11074,7694,347,6993,3769,128,3953,3907,908,3714,3222,424,3162,2235,528,2468,545,278,499,1189,1291,185,186,37,40
2254,2611,2982,2885,6449,1382,5603,9404,17,8969,7320,331,6691,3569,129,3507,3656,822,3350,2897,437,2885,2368,502,2554,583,349,539,1002,1070,121,137,27,22
2883,3525,4045,4061,8311,1634,7480,13289,21,12051,7991,401,7338,4042,136,3884,4248,937,3733,3396,483,3122,2705,576,2838,630,478,640,1412,1633,215,246,58,52
2975,3350,3784,3453,8871,1649,7262,11378,22,11130,9039,379,8730,4619,144,4740,4874,942,4599,3702,548,3702,2844,598,3091,575,412,573,1374,1469,209,214,36,34
