File,Volume1,Volume2,Volume3
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1012_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.178595e-01,4.632041e-01,4.826091e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1120_ses-1_run-1_desc-preproc_T1w_seg8.mat',7.157407e-01,3.708784e-01,3.526311e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1160_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.320724e-01,3.364083e-01,3.627548e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1230_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.961013e-01,2.891748e-01,5.003916e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1310_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.230683e-01,5.234705e-01,3.230629e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1340_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.899974e-01,3.703051e-01,3.468881e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1450_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.984739e-01,4.185101e-01,4.320366e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1500_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.951208e-01,4.183606e-01,4.964280e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1690_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.953650e-01,3.708926e-01,2.992052e-01
'C:\Users\Vincent\Desktop\scratch\output\mni_etnc_spm_vbm\T1w\sub-1890_ses-1_run-1_desc-preproc_T1w_seg8.mat',6.267422e-01,4.700796e-01,5.158948e-01
